车辆品牌,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,,,,,,,,,,
菲亚特菲翔,2012款,,1.4T,双离合,悦享版,2013年1月,4.9,8.3,13.3,,,,,,,,,,
奔驰E级,2010款,E260L CGI,1.8T,自动,优雅型,2011年4月,9.2,21,55.9,,,,,,,,,,
五菱荣光12款加长基本型,,,,,,2015年8月,4,4.2,,,,,,,,,,,
标致207-两厢,2010款,,1.4,手动,品乐版,2010年10月,6.5,3.2,8.3,,,,,,,,,,
奥迪A6L,2012款,A6L,2.0TFSI,无级,标准型,2013年12月,4.6,35,44.5,,,,,,,,,,
本田雅阁,2010款,第八代雅阁,2,自动,EX标准版,2010年11月,5.6,12,22,,,,,,,,,,
奥迪RS5,2012款,,4.2,双离合,(进口),2013年3月,1.2,78,130,,,,,,,,,,
现代伊兰特,2011款,悦动,1.6,手动,舒适型,2013年10月,7.4,6.8,10.8,,,,,,,,,,
比亚迪F0,2012款,,1,手动,悦酷型,2012年6月,2,2,4.4,,,,,,,,,,
奇瑞风云2-两厢,2010款,,1.5,手动,进取版,2011年7月,4.3,2.8,6.1,,,,,,,,,,
奥迪A4L,2011款,A4L,2.0TFSI,无级,132kw标准型,2011年9月,7.5,18,33.6,,,,,,,,,,
宝马3系,2014款,328Li,2.0T,自动,豪华设计套装,2014年1月,3.3,33.8,50.5,,,,,,,,,,
丰田威驰,2008款,威驰,1.6,自动,GL-i特别纪念版,2010年8月,5.9,4.99,11.7,,,,,,,,,,
宝马3系,2013款,328Li,2.0T,自动,风尚型,2014年1月,2.4,33.5,51.3,,,,,,,,,,
奥迪A6L,2015款,A6L,2.5FSI,无级,30FSI百万纪念舒享型,2015年10月,2.8,41,48.8,,,,,,,,,,
大众迈腾,2009款,迈腾,2.0TSI,双离合,舒适版,2009年5月,8.8,10,27.3,,,,,,,,,,
大众途安,2011款,途安,1.4TSI,手动,5座智雅版,2012年5月,4.2,11,17.9,,,,,,,,,,
金杯海狮,2014款,,2,手动,动力王 标准顶舒适型V20,2015年11月,0.9,6.3,7.8,,,,,,,,,,
福特福克斯,2007款,福克斯-两厢,1.8,手动,舒适型,2008年6月,8.2,3.6,13.4,,,,,,,,,,
宝马3系,2014款,320Li,2.0T,自动,豪华设计套装,2014年10月,13.1,30.2,43.7,,,,,,,,,,
奔驰E级,2010款,E200CGI,1.8T,自动,优雅型(进口),2010年7月,5.7,20.8,53,,,,,,,,,,
福特全顺,2008款,经典全顺,2.4,手动,长轴中顶普通型10-15座,2012年7月,2.3,9,14.5,,,,,,,,,,
丰田雅力士,2009款,雅力士,1.6E,自动,舒适版,2010年4月,3,6.5,10.8,,,,,,,,,,
大众速腾,2009款,速腾,1.6,自动,时尚版,2009年3月,8.4,6.8,15.7,,,,,,,,,,
宝马5系,2013款,525Li,2.0T,自动,豪华型,2013年4月,5,37.1,53.7,,,,,,,,,,
现代新胜达,2013款,,3,自动,7座四驱豪华版(进口),2013年12月,2.2,24.5,35.7,,,,,,,,,,
斯巴鲁森林人,2008款,,2.5XT,自动,豪华版(进口),2009年11月,8,14.5,36.9,,,,,,,,,,
福特福克斯,2012款,福克斯-三厢,1.6,双离合,风尚型,2013年8月,4.7,9.5,15.6,,,,,,,,,,
奥迪Q5,2010款,Q5,2.0TFSI,双离合,技术型,2010年6月,6.9,24.5,46,,,,,,,,,,
MINICountryman,2012款,Cooper S Countryman,1.6T,自动,(进口),2013年5月,1.5,24.8,36.8,,,,,,,,,,
MG6,2010款,6,1.8T,手动,舒适版,2010年12月,8.6,5.2,15.9,,,,,,,,,,
大众朗逸,2013款,朗逸,1.6,手动,舒适版(改款),2015年7月,4.4,11,13.7,,,,,,,,,,
本田歌诗图,2012款,歌诗图,2.4,自动,豪华版,2012年5月,8.9,16.8,28.2,,,,,,,,,,
雪佛兰科帕奇,2014款,,2.4,自动,四驱旗舰版7座,2013年12月,5.1,17.8,22.8,,,,,,,,,,
纳智捷大7,2012款,,2.2T,自动,两驱锋芒智慧型,2012年9月,6.3,12.8,24.3,,,,,,,,,,
别克GL8,2013款,,2.4,自动,经典版,2013年3月,8.8,15.8,22.7,,,,,,,,,,
奔驰C级,2010款,C260CGI,1.8T,自动,运动型,2010年10月,3.4,23,49.7,,,,,,,,,,
奔驰E级,2015款,E200L,2.0T,自动,,2016年1月,0.8,40.5,46.6,,,,,,,,,,
大众桑塔纳,2008款,桑塔纳,1.8,手动,休闲升级版,2010年9月,1.7,5.3,9.4,,,,,,,,,,
大众朗逸,2008款,朗逸,1.6,自动,品轩版,2009年2月,6.9,6.9,15.8,,,,,,,,,,
捷豹XJ,2014款,XJL,2.0T,自动,两驱典雅商务版(进口),2014年4月,4,55,97.5,,,,,,,,,,
奥迪A6L,2012款,A6L,2.8FSI,无级,35FSI舒适型,2013年10月,5.6,36,59.9,,,,,,,,,,
英菲尼迪Q50,2014款,,3.7,自动,豪华版(进口),2014年5月,2.4,32,45.6,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,风尚型,2012年10月,1.8,9,15.6,,,,,,,,,,
比亚迪S6,2011款,,2,手动,尊贵型,2011年9月,6.5,6.5,11.7,,,,,,,,,,
现代索纳塔,2009款,领翔,2,自动,GLS豪华型,2012年1月,5.1,8.8,18.9,,,,,,,,,,
Jeep大切诺基,2014款,,3,自动,舒享导航版(进口),2014年3月,3.6,45,62.9,,,,,,,,,,
铃木羚羊,2012款,,1.3,手动,标准版,2012年5月,4.5,2.8,5,,,,,,,,,,
大众途锐,2011款,途锐,3.0TSI,自动,V6标配型(进口),2012年1月,6,45,79.8,,,,,,,,,,
标致508,2013款,,2,自动,两周款纪念智享版,2014年1月,5.1,16.2,22.2,,,,,,,,,,
福特猛禽,2015款,F-150猛禽美规白金版,,,,2016年6月,0.9,58,,,,,,,,,,,
福特锐界,2012款,锐界,2.0T,自动,尊锐型(进口),2014年10月,2.6,32,38.7,,,,,,,,,,
路虎揽胜,2016款,,3.0T,HSE（美规）,,2016年5月,0.4,148,,,,,,,,,,,
大众甲壳虫,2010款,甲壳虫,1.6,自动,(进口),2010年9月,7.6,9.8,21.9,,,,,,,,,,
奔驰E级,2012款,E300L,3,自动,时尚型,2012年4月,7.6,30,72.3,,,,,,,,,,
大众CC,2012款,CC,1.8TSI,双离合,豪华版,2012年10月,3.3,20,28.9,,,,,,,,,,
东风风行菱智,2016款,菱智M3L,1.6,手动,舒适型7座,2016年1月,1.4,5.9,7.5,,,,,,,,,,
奔驰R级,2007款,R350L,3.5,自动,四驱版(进口),2009年7月,7.6,35,91,,,,,,,,,,
奔驰S级,2010款,S350L 4MATIC,,,,2011年10月,10.7,51,,,,,,,,,,,
雷诺科雷傲,2012款,科雷傲,2.5,无级,四驱豪华导航版(进口),2013年2月,1.7,19,32.2,,,,,,,,,,
金杯海狮,2011款,,2,手动,快运豪华型V19,2010年4月,8.5,3.2,7.6,,,,,,,,,,
奔驰GLK级,2011款,GLK300,3,自动,四驱动感型(进口),2011年6月,6.7,25,48.6,,,,,,,,,,
日产奇骏,2010款,奇骏,2.5,无级,XL豪华版,2010年11月,6,11.3,26,,,,,,,,,,
奔驰唯雅诺,2011款,唯雅诺,2.5,自动,尊贵版,2010年11月,7.7,20,50.9,,,,,,,,,,
日产逍客,2009款,,1.6G,MT,2WD,2010年10月,9.7,7,,,,,,,,,,,
奥迪A4L,2016款,A4L,2.0TFSI,双离合,45TFSI quattro个性运动型,2016年4月,0.6,30.5,39.4,,,,,,,,,,
保时捷帕纳美拉,2010款,帕纳美拉,4,3.6,双离合(进口),2012年5月,9.3,80,135.9,,,,,,,,,,
捷豹XJ,2014款,XJL,2.0T,自动,两驱典雅商务版(进口),2014年4月,5.8,50,97.5,,,,,,,,,,
丰田卡罗拉,2011款,卡罗拉,1.8,无级,GL-i,2011年11月,2,9,16,,,,,,,,,,
起亚霸锐,2012款,,3.8,自动,豪华型,2012年11月,9.4,25,,,,,,,,,,,
本田CR-V,2012款,CR-V,2,自动,LXi都市版,2012年10月,5.1,15.5,21,,,,,,,,,,
SmartFortwo,2011款,Cabrio,1.0T,自动,燃橙版(进口),2011年10月,3.6,10,21.5,,,,,,,,,,
保时捷博克斯特,2013款,,2.7,双离合,（进口）,2013年1月,1.1,58,78.8,,,,,,,,,,
奔驰E级,2011款,E260CGI Coupe,1.8T,自动,(进口),2012年11月,4.6,27,67.1,,,,,,,,,,
奔驰C级,2010款,C180K,1.6T,自动,经典型,2010年9月,9.8,14.5,33.4,,,,,,,,,,
马自达6,2011款,6,2,自动,时尚版,2011年6月,8.4,8.5,19.5,,,,,,,,,,
宝马3系,2009款,335i,3.0T,自动(进口),,2010年4月,12.1,25,66.5,,,,,,,,,,
奔驰C级,2010款,C200 CGI,1.8T,自动,优雅型,2010年9月,5.5,16.5,37.8,,,,,,,,,,
宝马X5,2013款,X5 xDrive35i,3.0T,自动,美规版（进口）,2013年11月,4.3,47,,,,,,,,,,,
DS5,2013款,,1.6T,自动,THP200尊享版,2014年6月,3.6,21,32.8,,,,,,,,,,
马自达3,2010款,马自达3-两厢,1.6,自动,豪华型(进口),2010年9月,6.6,7.5,17.5,,,,,,,,,,
现代i30,2009款,,1.6L,自动,舒享型,2010年1月,4,5.2,,,,,,,,,,,
MINIClubman,2012款,coopersfun,1.6T,,,2013年9月,3.3,19.9,,,,,,,,,,,
雪佛兰科鲁兹,2011款,,1.8,AT,SX,2011年9月,7.5,7.3,,,,,,,,,,,
大众途观,2009款,途观,2.0TSI,自动,豪华版(进口),2011年1月,9.8,16.8,41.8,,,,,,,,,,
别克君威,2009款,,2,自动,精英版,2009年12月,2.8,9.5,21.7,,,,,,,,,,
奥迪A4,2013款,A4 Allroad Quattro,2.0T,双离合,40TFSI舒适型(进口),2013年1月,6,27.9,53.2,,,,,,,,,,
斯柯达明锐,2012款,明锐RS,2.0T,双离合,,2014年6月,4.3,12.7,22.9,,,,,,,,,,
保时捷博克斯特,2008款,Boxster,,,,2008年9月,7,38,,,,,,,,,,,
斯柯达昕动,2016款,,1.6,自动,创行版,2016年5月,1,9,11.9,,,,,,,,,,
标致408,2011款,,2,自动,舒适版,2012年6月,4.3,7.5,15.4,,,,,,,,,,
MINICoupe,2011款,Cooper Coupe,1.6,自动,Fun(进口),2011年5月,5.2,15,29.2,,,,,,,,,,
奥迪Q7,2016款,,2.0T,自动,40TFSI S-Line运动型（进口）,2016年4月,0.8,72,86.7,,,,,,,,,,
英菲尼迪JX35,2013款,,3.5,无级,全能型(进口),2013年9月,3.5,50,77.9,,,,,,,,,,
东风风行菱智,2010款,,2.0L,,7座标准天窗版,2010年3月,10.6,4.1,,,,,,,,,,,
奔驰C级,2011款,C180K,1.6T,自动,经典型,2011年5月,6.5,14.8,33.4,,,,,,,,,,
斯柯达晶锐,2008款,晶锐,1.4,手动,晶致版,2011年5月,3.9,4,8.9,,,,,,,,,,
凯迪拉克ATS-L,2016款,ATS-L,2.0T,自动,28T领先型,2016年4月,0.8,32,46.5,,,,,,,,,,
奔驰E级,2010款,E200CGI,1.8T,自动,优雅型(进口),2010年11月,9.1,22,53,,,,,,,,,,
奔驰M级,2015款,ML400 4MATIC,3.0T,自动,动感型（进口）,2015年5月,2.8,78.5,99.4,,,,,,,,,,
奔驰GLK级,2012款,GLK 300 4MATIC,3,自动,动感型,2012年4月,9.3,26,44.3,,,,,,,,,,
江淮和悦IEV4,2014款,和悦iEV4,,,,2014年10月,5.5,4.6,18.4,,,,,,,,,,
福特全顺,2014款,江铃,2.8T,,柴油版,2014年3月,4.3,10.5,,,,,,,,,,,
五菱宏光,2015款,宏光S1,1.5,手动,舒适型5座,2015年3月,4.2,5.3,7.1,,,,,,,,,,
大众速腾,2014款,速腾,1.6,手动,舒适型(改款),2013年10月,2.8,10.2,15.1,,,,,,,,,,
丰田塞纳,2011款,塞纳,3.5,自动,四驱限量版(进口),2014年3月,4.8,49,73.3,,,,,,,,,,
北汽战旗,2010款,,2,手动,,2016年6月,0.2,7.7,6.5,,,,,,,,,,
奔驰C级,2013款,C300,3,自动,时尚型,2013年2月,5.3,25.8,50.8,,,,,,,,,,
日产帕拉丁,2013款,帕拉丁,2.4,手动,两驱标准型,2012年5月,6.1,8.2,18.2,,,,,,,,,,
现代索纳塔,2009款,领翔,2,自动,GLS豪华型,2009年12月,11.6,6.6,18.9,,,,,,,,,,
开瑞K50,2015款,,1.5,手动,标准型7座,2015年10月,1.7,4.95,5.8,,,,,,,,,,
雷克萨斯NX,2016款,NX200t,2.0T,自动,全驱F SPORT（进口）,2016年1月,1.7,48,55.1,,,,,,,,,,
别克GL8,2011款,,2.4L,自动LT,豪华商务行政版,2011年4月,10.4,19,,,,,,,,,,,
宝马X1,2015款,X1 sDrive18i,2.0T,自动,领先晋级版,2015年8月,1.4,26,34.6,,,,,,,,,,
奇瑞A3-两厢,2011款,,1.6,手动,进取版,2011年12月,6.3,3.4,8.2,,,,,,,,,,
丰田塞纳,2011款,塞纳,3.5,自动,四驱型(进口),2012年4月,13.4,34,81.4,,,,,,,,,,
大众速腾,2009款,速腾,1.6,手动,时尚版,2008年8月,11.3,5.1,14.4,,,,,,,,,,
福特全顺,2007款,经典全顺,2.4T,手动,长轴中顶普通型10-15座柴油,2013年6月,6,16,21.8,,,,,,,,,,
起亚威客,2010款,,2.7,自动,7座舒适版(进口),2012年2月,12.2,13.3,29.9,,,,,,,,,,
别克GL8,2006款,,3,自动,LT 7座豪华版,2009年8月,12.8,10.5,35.6,,,,,,,,,,
奥迪A8L,2013款,A8L,,,,2013年8月,6.4,56,,,,,,,,,,,
奔驰GLK级,2011款,GLK 300,3,自动,四驱时尚型(进口),2010年8月,6.3,28,53.7,,,,,,,,,,
保时捷帕纳美拉,2010款,帕纳美拉,4S,4.8,双离合（进口）,2012年12月,1.9,95,217.5,,,,,,,,,,
标致508,2013款,,2.3,自动,两周款 纪念旗舰版,2012年10月,7.1,12.9,24.9,,,,,,,,,,
现代索纳塔,2009款,领翔,2,自动,DLX 尊贵型,2009年5月,9.4,6,19.4,,,,,,,,,,
斯柯达晶锐,2008款,晶锐,1.4,手动,晶致版,2011年9月,8.6,4.2,8.9,,,,,,,,,,
路虎揽胜,2012款,,5.0T,自动,V8SC(进口),2011年12月,6.1,90,238.6,,,,,,,,,,
铃木利亚纳-两厢,2005款,三厢,1.6,自动,标准,2008年12月,13.1,2,,,,,,,,,,,
大众途锐,2015款,,3.0TSI,自动,舒适型（进口）,2014年12月,2.7,57,85.8,,,,,,,,,,
别克昂科威,2016款,,2.0T,自动,28T四驱全能运动旗舰型,2015年10月,1.1,29.8,38,,,,,,,,,,
本田锋范,2008款,,1.5L,自动,精英,2009年10月,5.8,6,,,,,,,,,,,
荣威360,2015款,,1.4TGI,双离合,20T尊享版,2015年12月,1.5,9.5,11.7,,,,,,,,,,
日产奇骏,2012款,奇骏,2.5,无级,XL豪华版,2014年1月,3.6,19,26,,,,,,,,,,
长安CS75,2016款,,1.8T,自动,精英型,2015年8月,4.3,11,14.1,,,,,,,,,,
江淮iEV,2014款,iEV4,,,,2015年7月,1.7,5.1,,,,,,,,,,,
奔驰GLK级,2012款,GLK300 4MATIC,3,自动,动感型,2012年9月,5.7,29.8,44.3,,,,,,,,,,
宝马3系,2013款,320i,2.0T,自动,运动设计套装(进口),2012年9月,4.8,24,41.1,,,,,,,,,,
大众宝来,2011款,宝来,1.6,自动,舒适版,2010年12月,6.6,7,14.2,,,,,,,,,,
宝马3系,2009款,320i,2,自动,时尚型,2009年6月,7,12.2,37.1,,,,,,,,,,
启辰晨风,2014款,领风版6.6KW,,,,2016年5月,0,14.98,26.9,,,,,,,,,,
标致408,2011款,,2,自动,舒适版,2012年7月,5.6,7.8,15.4,,,,,,,,,,
雪佛兰科帕奇,2012款,,,,4驱豪华5坐,2012年9月,9.2,12.3,,,,,,,,,,,
东风风度MX6,2015款,,2,无级,两驱卓越版,2015年5月,4.2,11,15.2,,,,,,,,,,
威旺306,2016款,,1.2,,标准5座A12,2016年3月,0.6,3.1,,,,,,,,,,,
铃木奥拓,2015款,,1,手动,限定版,2015年5月,3,3.59,5.7,,,,,,,,,,
捷豹XJ,2013款,XJL,3.0T,自动,SC两驱全景商务版(进口,2013年5月,4.2,56.8,119.2,,,,,,,,,,)
保时捷卡曼,2013款,卡曼,S,3.4,双离合(进口),2013年6月,2.9,62,109.5,,,,,,,,,,
东风风行菱智Q7,2010款,CMV,2.0L,,,2012年5月,5.4,4.5,,,,,,,,,,,
本田思域,2009款,思域,1.8,自动,VTi豪华版,2010年3月,6,8.9,18.2,,,,,,,,,,
奥迪A4L,,A4L,1.8T,自动,,2011年6月,11.1,15.5,,,,,,,,,,,
奔驰E级,2008款,E230,2.5,自动,时尚型,2009年4月,7.3,19.8,59.5,,,,,,,,,,
保时捷帕纳美拉,2010款,,3.6,双离合,（进口）,2012年7月,1.3,60,125.2,,,,,,,,,,
大众尚酷,2010款,尚酷,2.0TSI,双离合,豪华版(进口),2010年9月,5.5,16,39.1,,,,,,,,,,
沃尔沃S40,2009款,,2.4i,自动,智雅限量版,2010年1月,9.4,11,30.4,,,,,,,,,,
奔驰GLK级,2011款,GLK300,3,自动,四驱时尚型(进口),2011年8月,6.5,28.1,53.7,,,,,,,,,,
现代伊兰特,2016款,朗动,,自动,智能型,2016年6月,0.3,11.2,,,,,,,,,,,
九龙天马,2014款,九龙A4,2.5T,,标准版,2014年5月,0.4,13,,,,,,,,,,,
捷豹XJ,2013款,捷豹XJLSC,3,自动,旗舰商务版,2013年7月,11.1,52,,,,,,,,,,,
奔驰S级,2014款,S320L,3.0T,自动,商务型(进口),2014年10月,2.3,75,101.8,,,,,,,,,,
福特全顺,2009款,经典全顺,2,,.4L汽油多功能型短轴中顶4G64S4N,2013年2月,0.8,9.5,,,,,,,,,,,
现代伊兰特,2012款,朗动,1.6,手动,GLX领先型,2014年2月,5.3,8.5,12.6,,,,,,,,,,
雪佛兰科鲁兹掀背,2013款,,1.6,自动,豪华掀背,2015年2月,2.2,9.8,,,,,,,,,,,
丰田卡罗拉,2008款,卡罗拉,1.8,手动,GL-i天窗特别版,2009年7月,6.7,5.9,15.2,,,,,,,,,,
金杯海狮,2014款,,2,手动,,2015年3月,2,6,,,,,,,,,,,
奔驰E级,2010款,E200CGI,1.8T,自动,优雅型(进口),2010年8月,9.5,21,53,,,,,,,,,,
大众帕萨特,2015款,,1.8TSI,双离合,尊荣版,2016年2月,2.5,19,23.8,,,,,,,,,,
现代索纳塔,2015款,第九代索纳塔,1.6TGDI,双离合,GLS智能型,2015年11月,1.9,16.1,21.1,,,,,,,,,,
东风风行菱智,2014款,M3,1.6,,7坐舒适型,2014年7月,9.5,4.7,,,,,,,,,,,
奔驰斯宾特,2015款,,3.5,自动,商旅尊贵型B款,2015年8月,0.3,100,,,,,,,,,,,
奔驰C级,2010款,C180K,1.6T,自动,经典型,2010年8月,10.3,14.2,33.4,,,,,,,,,,
雪铁龙C5,2010款,C5,3,自动,旗舰型,2010年3月,6.4,13.5,32.4,,,,,,,,,,
宝马5系,2012款,530Li,3,自动,领先型,2012年7月,2.1,33.2,60.7,,,,,,,,,,
大众帕萨特,2015款,,1.8TSI,双离合,御尊版,2015年3月,5.5,19.5,26,,,,,,,,,,
奔驰E级,2011款,E260 CGI Carbriolet,1.8T,自动,(进口),2013年11月,2.2,40,80.1,,,,,,,,,,
马自达2,2008款,2劲翔,1.3,自动,标准版,2010年8月,14.7,4,10.3,,,,,,,,,,
现代雅绅特,2007款,,1.4,手动,基本型,2010年8月,9.4,3,7.9,,,,,,,,,,
奇瑞瑞虎5,2014款,,2,手动,家尊版,2014年7月,5.2,8.5,12,,,,,,,,,,
现代伊兰特,2012款,朗动,1.6,自动,DLX尊贵型,2012年11月,5.1,9.8,14.4,,,,,,,,,,
铃木雨燕,2014款,,1.3L,手动标准型,,2014年12月,2.7,4.3,,,,,,,,,,,
福特福克斯,2012款,福克斯-两厢,1.6,双离合,舒适型,2013年1月,2.4,9.8,14.2,,,,,,,,,,
SmartFortwo Coupe,2012款,,1,自动,MHD舒适版(进口),2015年4月,2,8.6,13.9,,,,,,,,,,
奔驰C级,2010款,C200CGI,1.8T,自动,时尚版(进口),2009年10月,12.5,15,42.9,,,,,,,,,,
本田锋范,2008款,,1.5,手动,精英版,2010年2月,7.1,4.8,,,,,,,,,,,
保时捷博克斯特,2013款,博克斯特,2.7,双离合,(进口),2013年7月,3.8,59,78.8,,,,,,,,,,
斯柯达明锐,2013款,明锐,1.6,手动,逸俊版,2013年9月,5.3,9.5,14.9,,,,,,,,,,
凯迪拉克赛威SLS,2008款,,2.8,自动,精英型,2009年7月,10.5,15.5,48.6,,,,,,,,,,
丰田兰德酷路泽,2010款,兰德酷路泽,5.7,自动,豪华型(进口),2012年9月,8,80,171.5,,,,,,,,,,
保时捷卡曼,2009款,Cayman,3.4S,,,2012年3月,1.6,46,,,,,,,,,,,
起亚K5,2016款,,2,自动,PREMIUM,2015年11月,2.2,19,20.9,,,,,,,,,,
保时捷卡宴,2011款,卡宴S,4.8,自动,(进口),2012年2月,9.9,76,167.4,,,,,,,,,,
大众高尔夫,2013款,Cross Golf,1.4TSI,双离合,(进口),2013年10月,6.5,16,30.8,,,,,,,,,,
奔驰E级,2012款,E300L,3,自动,优雅型,2012年1月,5.8,30.5,63.8,,,,,,,,,,
宝马X5,2013款,宝马X5xDrive35i,3.0T,自动,美规版(进口),2013年4月,8.8,65,,,,,,,,,,,
宝马X5,2011款,X5 xDrive35i,3.0T,自动,美规版(进口),2013年6月,1.7,63,,,,,,,,,,,
现代新胜达,2009款,,2.7,自动,豪华型(进口),2009年9月,10.9,13.8,32.5,,,,,,,,,,
保时捷卡曼,2013款,卡曼,2.7,双离合,(进口),2014年1月,1.4,60,78.9,,,,,,,,,,
沃尔沃S80L,2011款,,2.0T,双离合,T4智尚版,2011年8月,5.3,17.5,39.9,,,,,,,,,,
奔驰S级,2005款,S350L,3.5,自动,(进口),2008年4月,10.3,38.5,151.7,,,,,,,,,,
斯柯达明锐,2007款,明锐,1.6,自动,逸仕版,2008年9月,8.1,7.2,15.9,,,,,,,,,,
宝马5系,2013款,525Li,2.0T,自动,豪华型,2013年3月,6.2,35.5,53.7,,,,,,,,,,
GMC赛威,2007款,,6,自动,7座长轴版领袖级(进口),2012年12月,1.1,59.5,132.4,,,,,,,,,,
丰田凯美瑞,2013款,凯美瑞,2.5,自动,G舒适版,2014年10月,2.2,16.8,22.8,,,,,,,,,,
丰田RAV4,2011款,RAV4,2,自动,经典版,2012年10月,4.7,15,21.5,,,,,,,,,,
长安悦翔V5,2012款,,1.5,手动,,2014年6月,1.9,5.2,,,,,,,,,,,
别克君威,2010款,,2,自动,世博版,2010年6月,8.6,11,22.1,,,,,,,,,,
现代维拉克斯,2007款,,3.8L,自动,7座豪华型,2010年4月,10.1,20,43.2,,,,,,,,,,
宝马3系,2011款,320i,2.0L,自动,时尚型,2011年4月,7,20,37.4,,,,,,,,,,
三菱戈蓝,2009款,,2.4,自动,旗舰升级版,2008年9月,9.2,7,21.7,,,,,,,,,,
日产骐达,2006款,,1.6L,手动,,2007年5月,6.8,4.6,,,,,,,,,,,
宝马5系,2011款,528Li,3.0L,自动,领先型,2011年10月,2.1,36,,,,,,,,,,,
大众迈腾,2012款,迈腾,1.8TSI,双离合,改款领先版,2012年12月,5,14.5,23.9,,,,,,,,,,
铃木奥拓,2010款,,1,自动,炫酷版,2010年12月,3.3,2,6.8,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.6,自动,舒适版,2012年12月,3.8,8.8,15.1,,,,,,,,,,
奔驰E级,2010款,E260 CGI Coupe,1.8T,自动,(进口),2011年9月,5.1,24,67.1,,,,,,,,,,
大众高尔夫,2012款,高尔夫6,1.6,自动,舒适版,2013年2月,1.5,8.2,15.1,,,,,,,,,,
别克君威,2009款,,2,自动,舒适版,2009年7月,9.1,6.9,19.5,,,,,,,,,,
福特福克斯,2009款,福克斯-两厢,1.8,手动,舒适型,2009年6月,3,4,12.9,,,,,,,,,,
大众CC,2012款,CC,1.8TSI,双离合,精英版,2012年11月,5,15,28.1,,,,,,,,,,
奇瑞瑞虎,2010款,,1.8,自动,两驱豪华版,2011年4月,3.2,4.15,11.8,,,,,,,,,,
宝马3系,2016款,,2,进取型,,2016年4月,0.4,26.5,,,,,,,,,,,
奇瑞瑞虎,2011款,,1.6,手动,DVVT 两驱舒适版,2011年9月,3.2,3.9,9.7,,,,,,,,,,
铃木雨燕,2011款,,1.5,自动,运动版,2012年8月,3.6,4.5,10,,,,,,,,,,
起亚锐欧,2007款,,1.4,手动,GL,2009年12月,13.2,2.2,7.6,,,,,,,,,,
现代伊兰特,2010款,悦动,1.6,自动,豪华型,2010年8月,8.8,5,13,,,,,,,,,,
大众朗逸,2015款,,1.6,手动,风尚版,2016年7月,0.9,9.2,11.9,,,,,,,,,,
起亚K2-三厢,2012款,,1.4,手动,GLS纪念版,2013年3月,6.5,4.6,8.5,,,,,,,,,,
现代伊兰特-三厢,2011款,,1.6,自动,GL 舒适型,2012年8月,6.1,5,10.7,,,,,,,,,,
丰田凯美瑞,2012款,凯美瑞,2.5,自动,G Navi 豪华导航版,2012年6月,4.6,14,24.5,,,,,,,,,,
别克君威,2014款,,2,自动,领先时尚型,2014年5月,4.1,12,19.4,,,,,,,,,,
丰田凯美瑞,2013款,凯美瑞经典,2,自动,200E精英版,2013年9月,1.9,12.7,19.8,,,,,,,,,,
荣威550,2010款,,1.8,手动,DVVT世博风尚版,2010年11月,4.5,4.3,13.9,,,,,,,,,,
铃木天语SX4-两厢,2009款,,1.6,自动,运动版,2010年10月,6.8,4.7,12.9,,,,,,,,,,
丰田卡罗拉,2013款,卡罗拉,1.6,自动,GL至酷特装版,2014年1月,5.1,8.95,15.3,,,,,,,,,,
别克GL8,2011款,,3,自动,GT豪雅版,2011年9月,13,20,39.9,,,,,,,,,,
本田CR-V,2010款,CR-V,2.4,自动,VTi-S尊贵版,2010年10月,14.8,11.99,27.4,,,,,,,,,,
宝马5系,2011款,523Li,2.5,自动,豪华型,2011年6月,6.8,26.5,53.1,,,,,,,,,,
MINI,2011款,Mini Cooper,1.6,自动,Fun(进口),2010年11月,9.5,11.3,29.2,,,,,,,,,,
奥迪A3,2015款,A3 Sportback,1.4TFSI,双离合,35TFSI 百万纪念舒享型,2015年10月,1.3,18.5,26,,,,,,,,,,
丰田凯美瑞,2013款,凯美瑞经典,2,自动,200GVP 豪华版,2015年7月,4.8,14.7,21,,,,,,,,,,
大众途观,2010款,途观,1.8TSI,自动,两驱菁英版,2010年9月,4.7,14,27.3,,,,,,,,,,
东南V3菱悦,2014款,,1.5,手动,亲民版,2014年1月,6.7,3.8,6.2,,,,,,,,,,
奥迪Q7,2013款,Q7,3.0TFSI,自动,35TFSI 技术型(进口),2013年12月,9.1,57.5,95.6,,,,,,,,,,
奥迪A6L,2014款,A6L,3.0TFSI,双离合,50TFSI quattro豪华型,2014年12月,2.4,43,80.6,,,,,,,,,,
奥迪A6L,2012款,,2.5FSI,无级,30FSI舒适型,2012年9月,5.2,27.5,51.3,,,,,,,,,,
标致3008,2015款,,1.6THP,自动,至尚版,2015年7月,1,15.8,24,,,,,,,,,,
大众宝来,2013款,宝来,1.6,自动,豪华版,2013年5月,7.4,9,14.8,,,,,,,,,,
别克君威,2009款,,2,自动,精英版,2010年1月,11.9,8.5,21.7,,,,,,,,,,
大众CC,2011款,CC,2.0TSI,双离合,至尊版,2011年7月,6.5,16,32.7,,,,,,,,,,
大众尚酷,2011款,尚酷,1.4TSI,双离合,单增压版(进口),2014年8月,2.4,15.8,25.6,,,,,,,,,,
